Alpha PSD,Beta PSD,Gamma PSD,Theta PSD,Delta PSD,HFD Alpha,HFD Beta
2.5272969550770266e-13,4.4536412218196377e-13,5.4815130587746876e-14,2.34953685802777e-12,4.925940454198012e-13,1.117483459956414,1.5784309214064622
1.6195530415115638e-11,1.630722626925409e-11,6.111423874912026e-13,1.5244451990604684e-11,1.7202051149150824e-11,1.1148849539915842,1.5361454731026256
8.340565403662826e-12,7.514822414809346e-12,3.571028267273277e-13,8.416742503912104e-12,7.852150433872159e-12,1.1105510232196396,1.427156021936097
3.474721556021311e-12,4.401392639971469e-12,1.852957597495734e-13,3.4030129888132237e-12,2.8577596657936276e-12,1.107623788052357,1.5745810801574642
9.17235654664834e-12,7.845246459298567e-12,1.471833127082298e-13,1.1133145466776762e-11,8.29030654970314e-12,1.113777108675562,1.4969863142044362
6.370645251588325e-12,6.163164805049476e-12,2.822537794849113e-13,6.7010417991565825e-12,1.2881470203167416e-11,1.1108703478389532,1.4726801961616702
8.795164330533487e-12,7.948308587255328e-12,1.571539796770442e-13,1.1354811004722952e-11,9.678674391241209e-12,1.119444067112351,1.5413310474032798
1.4871929441813513e-11,1.5583820042403893e-11,5.973739341637288e-13,1.500422792360001e-11,1.0565992761338065e-11,1.1129647508662426,1.4866205915759567
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
2.5272969550770266e-13,4.4536412218196377e-13,5.4815130587746876e-14,2.34953685802777e-12,4.925940454198012e-13,1.117483459956414,1.5784309214064622
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
1.3214126901775512e-13,1.391625433607713e-13,1.3023631097584149e-14,1.0666248027870543e-12,2.0389798319367897e-13,1.1145180283501404,1.5240904960828265
3.046155711865809e-13,2.811828345331266e-13,2.984411111974648e-14,1.6146451403781717e-12,2.2020834422475371e-13,1.1162425199236472,1.4958333404463873
1.556562173194004e-13,1.675336394961731e-13,1.722189957984853e-14,9.768913626385924e-13,3.1108361402233574e-13,1.112447185151755,1.5231159160959897
2.4664512006708694e-13,4.2974854386121725e-13,5.456936326583968e-14,2.222168479139902e-12,1.1776218523123685e-12,1.1131056035813596,1.562963502734493
7.970709116891056e-13,1.6603038963527173e-12,2.4491096527279197e-13,1.863781708448453e-12,3.400061292177291e-13,1.1223596366304038,1.4924630291783985
1.901522866220269e-13,2.2559821581764834e-13,1.8311397419693165e-14,2.1911088885012946e-12,5.867947573583421e-13,1.1264812177994612,1.515609541369082
5.596426112469619e-13,3.694200337548736e-13,2.877845901967593e-14,2.483264577044472e-12,8.310793105059534e-13,1.116060063738588,1.5269542460273675
1.1611011876473434e-12,3.357913235621612e-13,2.5228821722750775e-14,1.418017316724771e-12,2.834863138521925e-13,1.1095630256968605,1.4851397669635356
2.6666489674710027e-13,4.0886636691271996e-13,3.019275314970457e-14,3.241526300512201e-12,1.1947712719216352e-11,1.118014479340686,1.497936380048909
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
1.0176852491335947e-11,1.3033630584549977e-11,7.310748811855129e-13,1.471107373190743e-11,1.7131079349253374e-11,1.1171713228182447,1.4790699975480721
3.513274820584507e-13,4.948244594381902e-13,6.07459452534294e-14,6.843091837518772e-12,6.168794680931345e-13,1.1061267887141557,1.4851991355479512
2.1246344039468763e-13,3.2179583568603676e-13,4.6098653065960545e-14,4.8868907220984e-13,8.618165389170016e-13,1.11226106612604,1.5358446317150034
3.842352196083518e-13,7.210010573225602e-13,8.802433796777555e-14,2.669850620030141e-12,1.083507652476471e-12,1.1123833131034866,1.5172815992656807
3.584534514105121e-13,3.9868311373355975e-13,3.256607129646861e-14,2.848678510356102e-13,2.5054190103460584e-13,1.1149228214433413,1.5286604666973918
9.295767109692929e-12,1.27861004284215e-11,7.656296097528288e-13,1.3309928453273247e-11,1.6387755552772292e-11,1.112220698953118,1.5449912202545846
1.91092954987704e-13,2.1544514550916068e-13,1.5244906027714773e-14,5.554964021964686e-13,7.347107502654849e-13,1.1135785573002612,1.5205920362157241
